source,target,weight
P17,P26,444
P26,P17,402
P26,P28,152
P28,P26,152
P27,P47,130
P47,P27,130
P16,P58,92
P58,P16,92
P108,P124,82
P9,P16,80
P16,P9,80
P52,P72,80
P72,P52,80
P95,P113,80
P124,P108,80
P45,P109,78
P113,P95,77
P109,P45,76
P40,P34,72
P34,P40,70
P113,P108,54
P108,P113,53
P72,P117,52
P117,P72,52
P97,P44,48
P51,P97,44
P25,P77,42
P67,P113,42
P72,P107,42
P77,P25,42
P107,P72,42
P14,P89,40
P44,P97,40
P89,P14,40
P67,P70,38
P70,P67,38
P27,P65,36
P50,P84,36
P65,P27,36
P113,P67,36
P9,P65,34
P65,P9,34
P84,P50,34
P31,P97,32
P36,P54,32
P54,P36,32
P97,P31,32
P97,P51,30
P32,P94,28
P85,P94,28
P94,P32,28
P94,P85,28
P41,P121,26
P49,P120,26
P120,P49,26
P121,P41,26
P9,P46,24
P46,P9,24
P86,P93,20
P93,P86,20
P2,P75,18
P83,P120,18
P4,P50,16
P7,P83,16
P12,P50,16
P19,P94,16
P50,P4,16
P61,P89,16
P68,P7,16
P69,P74,16
P74,P69,16
P75,P2,16
P89,P61,16
P94,P19,16
P120,P83,16
P3,P76,14
P19,P87,14
P21,P80,14
P35,P78,14
P40,P55,14
P45,P72,14
P48,P97,14
P48,P125,14
P50,P12,14
P53,P56,14
P55,P40,14
P56,P53,14
P67,P43,14
P72,P45,14
P74,P2,14
P76,P3,14
P78,P35,14
P78,P123,14
P80,P21,14
P83,P7,14
P87,P19,14
P89,P105,14
P97,P48,14
P102,P113,14
P105,P89,14
P113,P102,14
P123,P78,14
P125,P48,14
P18,P98,12
P30,P51,12
P34,P80,12
P40,P39,12
P40,P125,12
P43,P67,12
P45,P67,12
P51,P30,12
P51,P40,12
P52,P81,12
P55,P56,12
P80,P34,12
P81,P52,12
P84,P12,12
P98,P18,12
P111,P125,12
P112,P97,12
P125,P40,11
P7,P49,10
P8,P50,10
P18,P37,10
P24,P51,10
P39,P40,10
P40,P51,10
P49,P7,10
P50,P8,10
P50,P22,10
P51,P24,10
P56,P55,10
P97,P112,10
P125,P111,10
P7,P20,8
P7,P66,8
P18,P71,8
P20,P7,8
P22,P50,8
P37,P18,8
P37,P82,8
P50,P92,8
P66,P7,8
P67,P45,8
P71,P18,8
P106,P57,8
P2,P38,6
P7,P103,6
P8,P22,6
P10,P89,6
P12,P18,6
P12,P92,6
P15,P98,6
P15,P120,6
P22,P8,6
P27,P125,6
P38,P2,6
P66,P120,6
P67,P119,6
P73,P116,6
P81,P43,6
P82,P66,6
P89,P10,6
P92,P12,6
P96,P125,6
P97,P111,6
P98,P15,6
P101,P89,6
P103,P7,6
P111,P97,6
P116,P73,6
P120,P15,6
P125,P27,6
P125,P96,6
P43,P81,5
P1,P95,4
P2,P74,4
P2,P79,4
P4,P22,4
P5,P81,4
P5,P106,4
P7,P88,4
P11,P40,4
P18,P12,4
P20,P88,4
P21,P56,4
P22,P4,4
P27,P97,4
P33,P21,4
P36,P45,4
P40,P112,4
P42,P64,4
P43,P95,4
P45,P95,4
P45,P106,4
P57,P5,4
P57,P67,4
P59,P100,4
P63,P67,4
P64,P60,4
P66,P82,4
P67,P63,4
P67,P117,4
P79,P2,4
P82,P37,4
P82,P98,4
P82,P116,4
P83,P49,4
P88,P7,4
P88,P20,4
P89,P101,4
P92,P50,4
P93,P94,4
P94,P93,4
P95,P43,4
P95,P45,4
P98,P82,4
P99,P100,4
P100,P59,4
P112,P62,4
P116,P82,4
P119,P67,4
P120,P103,4
P122,P50,4
P5,P36,3
P43,P112,3
P3,P45,2
P3,P57,2
P5,P67,2
P5,P112,2
P6,P13,2
P6,P59,2
P7,P110,2
P11,P51,2
P13,P6,2
P13,P100,2
P19,P27,2
P20,P116,2
P21,P33,2
P23,P93,2
P27,P19,2
P27,P40,2
P29,P45,2
P30,P125,2
P36,P48,2
P39,P11,2
P40,P11,2
P43,P106,2
P45,P1,2
P45,P3,2
P45,P29,2
P45,P36,2
P45,P48,2
P45,P51,2
P45,P112,2
P48,P3,2
P48,P45,2
P48,P91,2
P49,P83,2
P50,P114,2
P51,P11,2
P51,P91,2
P55,P118,2
P56,P33,2
P57,P48,2
P59,P90,2
P59,P99,2
P60,P42,2
P60,P64,2
P62,P97,2
P63,P78,2
P64,P42,2
P66,P18,2
P66,P115,2
P67,P57,2
P67,P91,2
P67,P123,2
P68,P83,2
P78,P63,2
P81,P106,2
P83,P68,2
P84,P18,2
P84,P66,2
P84,P92,2
P86,P101,2
P90,P6,2
P91,P10,2
P91,P67,2
P91,P95,2
P92,P71,2
P93,P23,2
P95,P1,2
P97,P27,2
P100,P13,2
P100,P99,2
P100,P104,2
P101,P86,2
P104,P59,2
P106,P45,2
P106,P55,2
P106,P67,2
P110,P7,2
P112,P5,2
P112,P30,2
P112,P40,2
P112,P45,2
P115,P71,2
P116,P20,2
P117,P52,2
P117,P95,2
P118,P106,2
P120,P66,2
P123,P67,2
P125,P10,2
P10,P57,1
P10,P106,1
P36,P57,1
P43,P36,1
P57,P106,1
P101,P45,1
P112,P43,1
